# Canonical casing mined from Tatoeba: words written capitalized in >=90% of
# mid-sentence occurrences (>=25 seen). 'lower<TAB>Canonical' per line.
a's	A's
aaron	Aaron
abraham	Abraham
abram	Abram
ac	AC
achilles	Achilles
adam	Adam
adams	Adams
afghanistan	Afghanistan
africa	Africa
african	African
africans	Africans
ai	AI
alaska	Alaska
albania	Albania
albanian	Albanian
albans	Albans
albert	Albert
alberto	Alberto
alex	Alex
alexander	Alexander
algerian	Algerian
ali	Ali
alice	Alice
alice's	Alice's
allah	Allah
alps	Alps
amanda	Amanda
amanda's	Amanda's
amazon	Amazon
amelia	Amelia
amelia's	Amelia's
america	America
america's	America's
american	American
americans	Americans
americas	Americas
amerindian	Amerindian
amish	Amish
amsterdam	Amsterdam
ana	Ana
anderson	Anderson
andrew	Andrew
angela	Angela
angeles	Angeles
anglo	Anglo
animism	Animism
ann	Ann
anna	Anna
anna's	Anna's
anne	Anne
antarctic	Antarctic
antarctica	Antarctica
anthony	Anthony
antonio	Antonio
apollo	Apollo
april	April
arab	Arab
arabia	Arabia
arabian	Arabian
arabic	Arabic
arabs	Arabs
aramaic	Aramaic
argentina	Argentina
arizona	Arizona
armenian	Armenian
armstrong	Armstrong
arthur	Arthur
ashton	Ashton
asia	Asia
asian	Asian
asians	Asians
athens	Athens
atlantic	Atlantic
atm	ATM
august	August
australia	Australia
australia's	Australia's
australian	Australian
australians	Australians
austria	Austria
austrian	Austrian
azerbaijani	Azerbaijani
bach	Bach
bali	Bali
baltic	Baltic
bangladesh	Bangladesh
baptist	Baptist
barack	Barack
barbara	Barbara
barcelona	Barcelona
basque	Basque
baya	Baya
bc	BC
beatles	Beatles
beijing	Beijing
belgian	Belgian
belgium	Belgium
ben	Ben
benjamin	Benjamin
berber	Berber
berlin	Berlin
beth	Beth
betty	Betty
bible	Bible
biden	Biden
bob	Bob
boris	Boris
bosnian	Bosnian
boston	Boston
brazil	Brazil
brazilian	Brazilian
brexit	Brexit
brian	Brian
britain	Britain
britain's	Britain's
british	British
bruno	Bruno
brussels	Brussels
buddha	Buddha
buddhism	Buddhism
buddhist	Buddhist
buddhists	Buddhists
bulgaria	Bulgaria
bulgarian	Bulgarian
caesar	Caesar
cain	Cain
